table,column,percent_null
agribalyse,score,100.0
agribalyse,product_vector_id,0.0
agribalyse,particules_fines,0.0
agribalyse,formation_photochimique_ozone,0.0
agribalyse,changement_climatique_biogenique,0.0
agribalyse,acidification_terrestre_eaux_douces,0.0
agribalyse,changement_climatique_cas,0.0
agribalyse,appauvrissement_couche_ozone,0.0
agribalyse,rayonnements_ionisants,0.0
agribalyse,eutrophisation_eaux_douces,0.0
agribalyse,changement_climatique_fossile,0.0
agribalyse,id,0.0
agribalyse,changement_climatique,0.0
agribalyse,score_unique_ef,0.0
agribalyse,ecotoxicite_eau_douce,0.0
agribalyse,epuisement_ressources_energetiques,0.0
agribalyse,eutrophisation_marine,0.0
agribalyse,effets_tox_cancerogenes,0.0
agribalyse,epuisement_ressources_eau,0.0
agribalyse,eutrophisation_terrestre,0.0
agribalyse,utilisation_sol,0.0
agribalyse,effets_tox_non_cancerogenes,0.0
agribalyse,epuisement_ressources_mineraux,0.0
agribalyse,code_agb,0.0
agribalyse,code_ciqual,0.0
agribalyse,lci_name,0.0
agribalyse,nom_produit_francais,0.0
agribalyse,code_avion,0.0
agribalyse,approche_emballage,0.0
agribalyse,groupe_aliment,0.0
agribalyse,livraison,0.0
agribalyse,preparation,0.0
agribalyse,sous_groupe_aliment,0.0
greenpeace_season,id,0.0
greenpeace_season,product_vector_id,0.0
greenpeace_season,month,0.0
openfoodfacts,vitamin_b12_100g,99.77
openfoodfacts,vitamin_d_100g,99.61
openfoodfacts,vitamin_c_100g,98.94
openfoodfacts,iron_100g,97.95
openfoodfacts,calcium_100g,97.84
openfoodfacts,generic_name,96.56
openfoodfacts,origins_tags,95.13
openfoodfacts,allergens,93.1
openfoodfacts,serving_quantity,91.6
openfoodfacts,serving_size,91.32
openfoodfacts,additives_tags,89.85
openfoodfacts,packaging_tags,88.17
openfoodfacts,nova_group,82.46
openfoodfacts,fiber_100g,81.62
openfoodfacts,ingredients_text,80.44
openfoodfacts,ingredients_analysis_tags,79.65
openfoodfacts,nutriscore_score,67.1
openfoodfacts,environmental_score_score,65.77
openfoodfacts,labels_tags,65.09
openfoodfacts,brands,56.87
openfoodfacts,categories,52.47
openfoodfacts,salt_100g,34.82
openfoodfacts,sodium_100g,34.82
openfoodfacts,saturated_fat_100g,31.98
openfoodfacts,energy_kcal_100g,31.9
openfoodfacts,sugars_100g,31.8
openfoodfacts,carbohydrates_100g,31.54
openfoodfacts,fat_100g,31.52
openfoodfacts,proteins_100g,31.45
openfoodfacts,image_url,9.75
openfoodfacts,environmental_score_grade,2.39
openfoodfacts,id,0.0
openfoodfacts,product_vector_id,0.0
openfoodfacts,code,0.0
openfoodfacts,product_name,0.0
openfoodfacts,nutriscore_grade,0.0
product_vector,code_source,6.06
product_vector,id,0.0
product_vector,name_vector,0.0
product_vector,name,0.0
product_vector,source,0.0
users,id,0.0
users,username,0.0
users,password,0.0
users,user_level,0.0
product_vector,,0.0
agribalyse,,0.0
openfoodfacts,,12.34
greenpeace_season,,0.0
users,,0.0
